start,end,count,missing,type,,,,,,,
1968-12-27,1969-01-22,27,0,MAX_TEMPERATURE,,,,,,,
1971-01-09,1971-01-31,23,0,MAX_TEMPERATURE,,,,,,,
2025-12-08,2025-12-29,22,0,MAX_TEMPERATURE,,,,,,,
1965-12-30,1966-01-16,18,0,MAX_TEMPERATURE,,,,,,,
1972-01-10,1972-01-27,18,0,MAX_TEMPERATURE,,,,Whitehorse: Consecutive days colder than -20C. Since 1950.,,,
1990-01-26,1990-02-12,18,0,MAX_TEMPERATURE,,,,rank,start,end,# days
1964-12-26,1965-01-11,17,0,MAX_TEMPERATURE,,,,1,1968-12-27,1969-01-22,27
2008-12-28,2009-01-12,16,0,MAX_TEMPERATURE,,,,2,1971-01-09,1971-01-31,23
1978-12-31,1979-01-14,15,0,MAX_TEMPERATURE,,,,3,2025-12-08,2025-12-29,22
1982-01-14,1982-01-28,15,0,MAX_TEMPERATURE,,,,4,1965-12-30,1966-01-16,18
1951-01-15,1951-01-29,15,0,MAX_TEMPERATURE,,,,5,1972-01-10,1972-01-27,18
1950-02-04,1950-02-18,15,0,MAX_TEMPERATURE,,,,6,1990-01-26,1990-02-12,18
1975-12-01,1975-12-15,15,0,MAX_TEMPERATURE,,,,7,1964-12-26,1965-01-11,17
1979-02-04,1979-02-18,15,0,MAX_TEMPERATURE,,,,8,2008-12-28,2009-01-12,16
1958-12-31,1959-01-14,15,0,MAX_TEMPERATURE,,,,9,1978-12-31,1979-01-14,15
1977-12-02,1977-12-16,15,0,MAX_TEMPERATURE,,,,10,1982-01-14,1982-01-28,15
1964-12-11,1964-12-24,14,0,MAX_TEMPERATURE,,,,,,,
1974-01-10,1974-01-23,14,0,MAX_TEMPERATURE,,,,,,,
1981-12-28,1982-01-10,14,0,MAX_TEMPERATURE,,,,,,,
1956-01-04,1956-01-17,14,0,MAX_TEMPERATURE,,,,,,,
2008-01-27,2008-02-09,14,0,MAX_TEMPERATURE,,,,,,,
